Track name,Artist name,Album,Playlist name,Type,ISRC
"Alps","Motorama","Alps","BRA","Playlist","FR59Y1300026"
"Hometown","French 79","Hometown","BRA","Playlist","FRU451700170"
"Nantes","Beirut","The Flying Club Cup","BRA","Playlist","USCPT0700043"
"i like the way you kiss me","Artemas","i like the way you kiss me","BRA","Playlist","QZJ842400387"
"You Always Say","French 79","TEENAGERS","BRA","Playlist","FRR642201734"
"You Always Say","French 79","TEENAGERS","BRA","Playlist","FRR642201734"
"Sabali","Amadou & Mariam ","Welcome to Mali","BRA","Playlist","FR6P10800850"
"Filme moi","Alice et Moi","Filme moi","BRA","Playlist","FR9W11716791"
"Nous","Annael","Nous","BRA","Playlist","FR9Z12100315"
"The Next Day (Mind Against Remix)","Röyksopp","The Next Day (Mind Against Remix)","BRA","Playlist","GBW232100546"
"Feed Your Head","Paul Kalkbrenner","7","BRA","Playlist","GBARL1500397"
"Things I Don't Need","Human Tetris","Things I Don't Need","cool - kolla mer","Playlist","TCACU1662891"
"Heavy Wave","Motorama","Poverty","cool - kolla mer","Playlist","USCGH2060320"
"Not The Man","The Growlers","Chinese Fountain","cool - kolla mer","Playlist","USER81404409"
"I SEE YOU IN EVERYTHING","DustBowlChampion","CARDINAL SIN","cool - kolla mer","Playlist","QZTBA2340293"
"Rose In A Glass","Provoker","Rose In A Glass","cool - kolla mer","Playlist","SE5AJ2101463"
"Anvil","Lorn","VESSEL","cool - kolla mer","Playlist","TCACM1654005"
"Bennington (2007)","John Maus","A Collection of Rarities and Previously Unreleased Material","cool - kolla mer","Playlist","GBCEL1200174"
"I can't do it no more","Fevr","Hidden Meadows","cool - kolla mer","Playlist","QZTAZ2216232"
"It's In My Head","Provoker","It's In My Head","cool - kolla mer","Playlist","SE5AJ2202057"
"The Chase","Emmit Fenn","The Chase","cool - kolla mer","Playlist","GBKPL2281437"
"Alps","Motorama","Alps","cool - kolla mer","Playlist","FR59Y1300026"
"Castle In The Snow","The Avener","The Wanderings Of The Avener","cool - kolla mer","Playlist","FRV601400155"
"Space Song","Beach House","Depression Cherry","cool - kolla mer","Playlist","USSUB1512203"
"Hometown","French 79","Hometown","cool - kolla mer","Playlist","FRU451700170"
"Sabali","Amadou & Mariam ","Welcome to Mali","cool - kolla mer","Playlist","FR6P10800850"
"Nantes","Beirut","The Flying Club Cup","cool - kolla mer","Playlist","USCPT0700043"
"i like the way you kiss me","Artemas","i like the way you kiss me","cool - kolla mer","Playlist","QZJ842400387"
"Places","LEILA","Burnout","cool - kolla mer","Playlist","GBLAZ2301994"
"Found My Own Way","Fevr","Found My Own Way","cool - kolla mer","Playlist","QZZ7Q2462092"
"Stockholmsvy","Hannes","Stockholmsvy","cool - kolla mer","Playlist","QM4TX2262263"
"Seasons","NTO","Seasons (Remix)","cool - kolla mer","Playlist","FR9W12123101"
"White Chalk","PJ Harvey","White Chalk","cool - kolla mer","Playlist","GBUM70704886"
"Rebel","FindMyName","Rebel","cool - kolla mer","Playlist","TCAHX2421775"
"Ani Kuni","Polo & Pan","Cyclorama","cool - kolla mer","Playlist","FRPDG2100170"
"Numero 6","Scratch Massive","Garden of Love","cool - kolla mer","Playlist","QZ4K31600124"
"Sunken","Scratch Massive","Garden of Love","cool - kolla mer","Playlist","QZ4K31600085"
"The Great Gig in the Sky","Pink Floyd","The Dark Side of the Moon","VISA RZ IZ","Playlist","GBN9Y1100080"
"Summer Wine","Nancy Sinatra","Start Walkin' 1965-1976","MIX","Playlist","USASE0510168"
"Paper Planes","M.I.A.","Kala","MIX","Playlist","GBBKS0700215"
"Her Life","Two Feet","First Steps","HOB - Drönare","Playlist","DEVF11600017"
