Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"I Wanna Be Adored - Remastered 2009","The Stone Roses","The Stone Roses","Favorite Songs","Favorite","GBAHJ0900001","758wEKVqfYopJIHYWdLVd4"
"Wide Awake","Chris Stussy","Wide Awake","Favorite Songs","Favorite","GBAHT2600086","0ScBO3EflBAKRC1WjOyJT1"
"Kapabel 2","Bewared","Kapabel 2","Favorite Songs","Favorite","QZFYZ2495714","3VjCwo8spaaJTVFr5LyTPy"
"Art of War","Avenoir","Mirage","Favorite Songs","Favorite","USLD91771924","2RnB5R79oLcE8lCQbiaUZf"
"Grown Woman","PARTYNEXTDOOR","PARTYNEXTDOOR TWO","Favorite Songs","Favorite","USWB11401864","0l1eHXBH9pNSW6MVQFTK1z"
"Are You Still In Love?","Andrew Garden","Are You Still In Love?","Favorite Songs","Favorite","AEA3A2093527","6VFPADmb0L2hhHh0sVy4AP"
"Bitch, Don’t Kill My Vibe","Kendrick Lamar","pov: you're rich and famous","Favorite Songs","Favorite","USUM71210774","0oKsxtkI3sFDVZHx7PhQU5"
"Gå för glory","Håkan Hellström","Gå för glory","Favorite Songs","Favorite","SE6SA2497024","5JF5WXIyAvGAhMVI8Rn5AG"
"What You Waiting For?","Gwen Stefani","Fuera malas energías","Favorite Songs","Favorite","USIR10400692","0ZCQIjsqN8ows5KaKRSQeK"
"XO Tour Llif3","Lil Uzi Vert","10's - Best of the Decade","Favorite Songs","Favorite","USAT21700684","01EcSJ2fKLXAhkfARB3O9N"
"Fuck The World (Summer in London)","Brent Faiyaz","Fuck The World (Summer in London)","Favorite Songs","Favorite","QM24S1921734","2LHRwhsMByGIVTtHxlOJg2"
"Wish - Audiomack Trap Symphony Version","Trippie Redd","Wish (Audiomack Trap Symphony Version)","Favorite Songs","Favorite","QZJ842504360","3STIi4I7eGMJJJhGRIfVli"
"ydoifeel?","Saam Sultan","ydoifeel?","Favorite Songs","Favorite","QZWFX2458815","0Gm56UUEbs8n1g6IYG8HrE"
"Dead n Gone","Luci4","Dead n Gone","Favorite Songs","Favorite","QZK6N2175384","2vyAxGW8KhJV1C4rGRCwco"
"ALL THAT I WANT","heygwuapo","ALL THAT I WANT","Favorite Songs","Favorite","QT6G62520897","2yVPBvhdbxkx7h7H010Nwd"
"Nöjd? - Radio Version","Veronica Maggio","Vatten och bröd","Favorite Songs","Favorite","SEUM70600227","6bvNKLqRlzXrBxfjjETvD3"
"Too Much for Me","Charlene Smith","Feel the Good Times","Favorite Songs","Favorite","CAB290500029","4QrBVoATZfiwiSwk50LxmG"
"Lovers Only","Love Spells","Lovers Only","Favorite Songs","Favorite","US38Y2501753","5El7hefZel9jzdjnoBUrUJ"
"Save The World","Swedish House Mafia","Save The World","Favorite Songs","Favorite","GBAAA1100047","65hRZOQkVjmBdusz1N7aOv"
"I Wanna Be","Katy B","Honey","Favorite Songs","Favorite","GBUM71507727","1JESk0EWqy5rgvienwJH7c"
"I Wanna Be Adored","The Stone Roses","Stone Roses","Favorite Songs","Favorite","GBAHJ9500039","1U3XgEP8gEpn7jdzoeamci"
"Ghosttown","Yung Lean","Unknown Memory","Favorite Songs","Favorite","USA2B1402003","7l26dZs9DhSf8xyJ7NxbuP"
"Make Believe","lanclier","It Ends in Water","Favorite Songs","Favorite","QZ93L1910851","6ylMnKCaWbrmeVa5SEt1Vq"
